dataset,strategy,labeled_samples,accuracy_mean,accuracy_std,n_trials
pol,Uncertainty Sampling (US),88,0.9075378130424003,0.006058361455993084,30
pol,Uncertainty Sampling (US),89,0.9090503347384081,0.006448260572535857,30
pol,Uncertainty Sampling (US),90,0.9091743119266056,0.006325024052412003,30
pol,Uncertainty Sampling (US),91,0.909199107364245,0.007667503419834404,30
pol,Uncertainty Sampling (US),92,0.9108108108108108,0.009345485868037441,30
pol,Uncertainty Sampling (US),93,0.9107364244978924,0.009479245029634783,30
pol,Uncertainty Sampling (US),94,0.9114306967517977,0.009147211828766637,30
pol,Uncertainty Sampling (US),95,0.9135135135135136,0.007600854292210015,30
pol,Uncertainty Sampling (US),96,0.9136126952640714,0.008311058073230406,30
pol,Uncertainty Sampling (US),97,0.9146293082072899,0.00799420683626884,30
pol,Uncertainty Sampling (US),98,0.9142325812050582,0.007607252864482425,30
pol,Uncertainty Sampling (US),99,0.9153483758988347,0.009015122776411113,30
pol,Uncertainty Sampling (US),100,0.9138110587651872,0.007414823774046307,30
pol,Uncertainty Sampling (US),101,0.9161418299032978,0.007401602476911486,30
pol,Uncertainty Sampling (US),102,0.9176295561616662,0.007498073840708378,30
pol,Uncertainty Sampling (US),103,0.9170840565335978,0.008403901531271052,30
pol,Uncertainty Sampling (US),104,0.9169600793454005,0.009180976312898409,30
pol,Uncertainty Sampling (US),105,0.9177783287875031,0.008792976193696041,30
pol,Uncertainty Sampling (US),106,0.9188941234812795,0.008748197117380391,30
pol,Uncertainty Sampling (US),107,0.9213984626828664,0.007704905290201132,30
pol,Uncertainty Sampling (US),108,0.9211009174311927,0.008479694659592373,30
pol,Uncertainty Sampling (US),109,0.9229109843788744,0.007533320061582032,30
pol,Uncertainty Sampling (US),110,0.922737416315398,0.008384959978840006,30
pol,Uncertainty Sampling (US),111,0.9224646665013638,0.00959663963759918,30
pol,Uncertainty Sampling (US),112,0.9245722787007191,0.009157635530018611,30
pol,Uncertainty Sampling (US),113,0.9243243243243243,0.01042189815760998,30
pol,Uncertainty Sampling (US),114,0.9243987106372428,0.010869176686424424,30
pol,Uncertainty Sampling (US),115,0.925043392015869,0.010019436985995021,30
