dataset,strategy_code,strategy,seed,trial,n_labeled,accuracy,line_type
ionosphere,uniform,Random,1,1,130,0.9361702127659575,update
ionosphere,uniform,Random,1,1,131,0.9361702127659575,update
ionosphere,uniform,Random,1,1,132,0.9361702127659575,update
ionosphere,uniform,Random,1,1,133,0.9361702127659575,update
ionosphere,uniform,Random,1,1,134,0.9361702127659575,update
ionosphere,uniform,Random,1,1,135,0.9361702127659575,update
ionosphere,uniform,Random,1,1,136,0.9361702127659575,update
ionosphere,uniform,Random,1,1,137,0.9361702127659575,update
ionosphere,uniform,Random,1,1,138,0.9361702127659575,update
ionosphere,uniform,Random,1,1,139,0.9361702127659575,update
ionosphere,uniform,Random,1,1,140,0.9361702127659575,update
ionosphere,uniform,Random,1,1,141,0.9361702127659575,update
ionosphere,uniform,Random,1,1,142,0.9432624113475178,update
ionosphere,uniform,Random,1,1,143,0.9432624113475178,update
ionosphere,uniform,Random,1,1,144,0.9361702127659575,update
ionosphere,uniform,Random,1,1,145,0.9290780141843972,update
ionosphere,uniform,Random,1,1,146,0.9361702127659575,update
ionosphere,uniform,Random,1,1,147,0.9361702127659575,update
ionosphere,uniform,Random,1,1,148,0.9361702127659575,update
ionosphere,uniform,Random,1,1,149,0.9361702127659575,update
ionosphere,uniform,Random,1,1,150,0.9361702127659575,update
ionosphere,uniform,Random,1,1,151,0.9432624113475178,update
ionosphere,uniform,Random,1,1,152,0.9361702127659575,update
ionosphere,uniform,Random,1,1,153,0.9361702127659575,update
ionosphere,uniform,Random,1,1,154,0.9361702127659575,update
ionosphere,uniform,Random,1,1,155,0.9432624113475178,update
ionosphere,uniform,Random,1,1,156,0.9361702127659575,update
ionosphere,uniform,Random,1,1,157,0.9361702127659575,update
ionosphere,uniform,Random,1,1,158,0.9361702127659575,update
ionosphere,uniform,Random,1,1,159,0.9361702127659575,update
ionosphere,uniform,Random,1,1,160,0.9361702127659575,update
ionosphere,uniform,Random,1,1,161,0.9361702127659575,update
ionosphere,uniform,Random,1,1,162,0.9361702127659575,update
ionosphere,uniform,Random,1,1,163,0.9290780141843972,update
ionosphere,uniform,Random,1,1,164,0.9290780141843972,update
ionosphere,uniform,Random,1,1,165,0.9290780141843972,update
ionosphere,uniform,Random,1,1,166,0.9290780141843972,update
ionosphere,uniform,Random,1,1,167,0.9290780141843972,update
ionosphere,uniform,Random,1,1,168,0.9361702127659575,update
ionosphere,uniform,Random,1,1,169,0.9290780141843972,update
ionosphere,uniform,Random,1,1,170,0.9361702127659575,update
ionosphere,uniform,Random,1,1,171,0.9361702127659575,update
ionosphere,uniform,Random,1,1,172,0.9290780141843972,update
ionosphere,uniform,Random,1,1,173,0.9432624113475178,update
ionosphere,uniform,Random,1,1,174,0.9432624113475178,update
ionosphere,uniform,Random,1,1,175,0.9432624113475178,update
ionosphere,uniform,Random,1,1,176,0.9432624113475178,update
ionosphere,uniform,Random,1,1,177,0.9432624113475178,update
ionosphere,uniform,Random,1,1,178,0.9432624113475178,update
ionosphere,uniform,Random,1,1,179,0.9432624113475178,update
ionosphere,uniform,Random,1,1,180,0.9432624113475178,update
ionosphere,uniform,Random,1,1,181,0.9432624113475178,update
ionosphere,uniform,Random,1,1,182,0.950354609929078,update
ionosphere,uniform,Random,1,1,183,0.950354609929078,update
ionosphere,uniform,Random,1,1,184,0.950354609929078,update
ionosphere,uniform,Random,1,1,185,0.950354609929078,update
ionosphere,uniform,Random,1,1,186,0.950354609929078,update
ionosphere,uniform,Random,1,1,187,0.950354609929078,update
ionosphere,uniform,Random,1,1,188,0.950354609929078,update
ionosphere,uniform,Random,1,1,189,0.950354609929078,update
ionosphere,uniform,Random,1,1,190,0.950354609929078,update
ionosphere,uniform,Random,1,1,191,0.950354609929078,update
